geocode,Forecast_Year,Pred_R0,Pred_Peak_Week,Pred_Total_Cases_Log,Pred_Total_Cases,Pred_Alpha,Pred_Beta
5005202,2026,1.7297889,17.588284,6.266559,525,0.42879105,0.5239761
5005251,2026,1.7742988,20.715769,6.101658,445,0.4414279,0.54083896
5005400,2026,1.7152306,20.89705,7.303502,1484,0.42217693,0.51283157
5005608,2026,1.8343209,13.993562,6.4625993,639,0.44044995,0.5357979
5005681,2026,1.9123832,18.262466,6.1096034,449,0.4847251,0.57612675
5005707,2026,1.5726256,18.538021,7.257964,1418,0.36146465,0.47341186
5005806,2026,1.5115342,16.381168,6.185904,484,0.33410048,0.45792055
5006002,2026,1.9075888,17.230543,6.1415577,463,0.4776065,0.56557065
5006200,2026,1.7971346,17.937298,6.7330914,838,0.4520904,0.5508424
5006259,2026,1.8878083,19.15586,5.609887,272,0.4749511,0.5695458
5006275,2026,1.6866828,20.034939,5.6056004,270,0.41048092,0.5160543
5006309,2026,1.6396899,17.3409,6.8346176,928,0.39798763,0.49290478
5006358,2026,1.916344,17.390402,6.079209,435,0.48366642,0.58375543
5006408,2026,1.5130526,18.04742,5.463499,234,0.35851544,0.44840392
5006606,2026,1.7278707,17.892237,7.4611654,1738,0.42794064,0.51931655
5006903,2026,1.7094791,16.372534,5.4554176,233,0.4081115,0.50229293
5007109,2026,1.6952782,16.654821,6.607778,739,0.4108518,0.5123892
5007208,2026,1.7846321,16.675924,6.0875044,439,0.44519338,0.54862696
5007307,2026,1.5208269,15.275429,4.942439,139,0.35703194,0.46006975
5007406,2026,1.6486673,13.907905,5.950093,382,0.38771152,0.50304705
5007505,2026,1.76656,16.258743,5.2619004,191,0.43640062,0.5309288
5007554,2026,1.5602214,18.131937,5.7572017,315,0.36895338,0.47481266
5007695,2026,1.6380996,18.334711,7.3549027,1562,0.3922747,0.50657594
5007703,2026,1.762721,16.731445,5.939837,378,0.44060582,0.53393364
5007802,2026,1.680455,14.663088,5.689161,294,0.428046,0.5032424
5007901,2026,1.6292125,16.931763,7.114332,1228,0.38922694,0.48922408
5007935,2026,1.7349994,18.686361,6.345033,568,0.4296607,0.5215713
5007950,2026,2.0359347,18.6502,5.6716504,289,0.5149558,0.6087521
5007976,2026,1.9916903,21.648088,5.0077395,148,0.50467867,0.6054298
5008008,2026,1.649498,15.6362095,5.6626945,286,0.40054366,0.49296927
5008305,2026,1.482801,18.541857,8.236668,3775,0.33010122,0.4430577
5008404,2026,1.7446733,18.176208,5.618374,274,0.4342299,0.5262791
5100102,2026,2.571514,11.171863,4.558337,94,0.6163459,0.80628383
5100201,2026,1.5685016,20.537403,6.369247,582,0.36832905,0.47596318
5100250,2026,1.506645,16.83198,6.991972,1086,0.34083837,0.46127027
5100300,2026,1.858597,18.20063,5.420874,225,0.4657992,0.558483
5100359,2026,2.4690819,22.185246,4.846373,126,0.5949954,0.8146612
5100409,2026,1.7329826,19.549805,5.9656286,388,0.42675585,0.5189618
5100508,2026,2.1098392,11.096393,4.9878435,145,0.526063,0.64257044
5100607,2026,1.688756,17.970932,5.2312913,186,0.41517285,0.4982437
5100805,2026,1.3337338,23.028296,5.3298464,205,0.25780082,0.40707773
5101001,2026,1.3973242,19.738453,5.1726727,175,0.29028773,0.4267941
5101258,2026,1.6001756,16.757544,5.307955,200,0.37871778,0.48465315
5101308,2026,1.967994,19.361502,4.7061305,109,0.4927424,0.6052012
5101407,2026,1.4407156,16.419296,5.5331707,251,0.2891961,0.4379968
5101704,2026,1.6986499,17.818882,5.8509893,346,0.41080883,0.50593805
5101803,2026,1.5486166,15.621946,6.604403,737,0.3575576,0.464405
5101852,2026,1.7190343,16.92704,4.959657,141,0.42643395,0.52481544
5101902,2026,1.691388,16.63934,5.142161,170,0.41592118,0.51078355
5102504,2026,1.6333894,16.083881,6.486501,655,0.39122415,0.4900354
5102603,2026,1.7678155,16.52582,5.021263,150,0.43862388,0.5388838
5102637,2026,1.532862,20.01622,7.1283126,1245,0.35067216,0.46251214
5102678,2026,1.6193329,15.299023,6.609776,741,0.3817118,0.491698
5102686,2026,1.5935738,17.034784,5.7222605,304,0.38183433,0.47846365
5102694,2026,1.8408338,13.645019,4.5554433,94,0.45787606,0.54677844
5102702,2026,1.5340682,18.961187,6.669638,787,0.35365996,0.4662267
5102793,2026,1.6379486,17.721823,5.2542486,190,0.3977562,0.492283
5102850,2026,1.6633228,18.422266,4.94094,138,0.40296212,0.5202069
5103007,2026,1.6963141,20.233795,6.174454,479,0.41628784,0.5206119
5103056,2026,1.4703954,20.886984,5.542902,254,0.32645345,0.4457224
5103106,2026,1.9132917,18.269056,5.6643877,287,0.48023793,0.5729505
5103205,2026,1.5024996,18.071823,6.4938965,660,0.3364288,0.4513062
5103254,2026,1.3654157,15.362111,5.818389,335,0.27040842,0.41463777
5103304,2026,1.5565789,16.359066,5.9736423,391,0.35986653,0.46756116
5103353,2026,1.6259663,16.199535,5.984827,396,0.38938427,0.49079722
5103361,2026,1.7663741,20.411974,4.637613,102,0.43866852,0.5389453
5103379,2026,2.0598576,8.762495,5.095353,162,0.5201534,0.61289275
5103403,2026,1.4517618,19.496323,7.9436345,2816,0.31959915,0.43679988
5103502,2026,1.5197291,18.583,6.3069425,547,0.34778413,0.46535382
5103601,2026,1.5877218,19.387047,5.394653,219,0.3798483,0.49110693
5103700,2026,1.5400313,20.5103,5.7170115,302,0.35481563,0.46755487
5103809,2026,3.1983745,27.162476,4.6867228,107,0.6873279,1.018877
5103858,2026,1.528979,23.307276,5.5742617,262,0.34842274,0.45732564
5103908,2026,2.074032,10.06178,5.150271,171,0.5140655,0.6133157
5104104,2026,1.6533008,14.090819,6.192941,488,0.40646383,0.4982534
5104203,2026,1.7833855,16.931576,5.2968755,198,0.44280833,0.5342973
5104500,2026,2.1224334,22.813435,4.802349,120,0.5288635,0.65322965
5104526,2026,1.6360087,19.492115,5.454884,232,0.39370072,0.49202973
5104542,2026,1.6490574,20.523632,5.50281,244,0.39492458,0.5130113
5104559,2026,1.4563149,20.543278,5.6719575,289,0.31851912,0.45115325
5104609,2026,2.2218585,12.95825,5.200518,180,0.5583585,0.66864216
5104807,2026,1.6423151,17.553057,5.9059343,366,0.39873853,0.5023273
5105002,2026,1.7312,12.200774,4.804114,121,0.41938993,0.51310575
5105101,2026,1.6760302,13.886006,5.913485,368,0.4002988,0.509354
5105150,2026,1.6411428,14.090943,6.3258824,557,0.39658308,0.4943668
5105176,2026,2.0554857,9.88646,5.1408243,169,0.5184297,0.6233144
5105200,2026,1.6406538,18.616024,4.611069,99,0.39559597,0.49405962
5105234,2026,1.8361742,17.122694,5.2801614,195,0.46145964,0.5487929
5105259,2026,1.5490469,16.978912,7.0247893,1123,0.35974675,0.470699
5105507,2026,2.598852,8.762021,4.6421933,102,0.6151468,0.7985452
5105580,2026,1.5245563,19.920382,5.906447,366,0.34426054,0.47879374
5105606,2026,1.6353555,16.060898,5.77912,322,0.3947283,0.4954235
5105622,2026,1.6278058,18.314693,5.5367546,252,0.389195,0.49828595
5105903,2026,1.7970245,21.489002,5.0257483,151,0.44708654,0.5440314
5106000,2026,1.8915626,17.923576,4.7507873,114,0.47634932,0.5644473
5106109,2026,1.39943,22.075754,5.224541,184,0.30705708,0.43745404
5106158,2026,1.5528039,15.952819,4.8865643,131,0.35953903,0.46450347
5106182,2026,1.447733,18.072151,5.134724,168,0.31540588,0.4473404
5106190,2026,1.5580089,18.733887,5.1694083,174,0.3638762,0.4744233
5106208,2026,1.6347713,11.318503,4.9478545,139,0.37430584,0.48450077
5106216,2026,1.8569443,17.102175,5.646102,282,0.46149868,0.57269025
5106224,2026,1.4571059,20.400795,7.495238,1798,0.31210697,0.44011268
5106232,2026,1.5705305,21.020014,4.550199,93,0.36960545,0.4884737
5106240,2026,1.4367411,18.164646,6.3847017,591,0.30946624,0.43376175
5106257,2026,1.8371179,15.436718,5.442574,230,0.45685783,0.5651816
5106265,2026,1.8214467,15.406679,5.643274,281,0.45713145,0.5436593
5106273,2026,1.5800455,20.963432,5.3376746,207,0.37439936,0.4765718
