geocode,graph_emb_0,graph_emb_1,graph_emb_2,graph_emb_3,graph_emb_4,graph_emb_5,graph_emb_6,graph_emb_7,graph_emb_8,graph_emb_9,graph_emb_10,graph_emb_11,graph_emb_12,graph_emb_13,graph_emb_14,graph_emb_15
2921708,0.0014726109223853953,0.0019426119809005432,-0.0010887975524175098,-0.002014714803301338,-0.00015126907655078138,3.600490177394285e-07,-0.002053293141476884,0.0003279719490744951,-0.003321663126479857,7.058229098618151e-18,4.451448555232568e-16,-2.185331283132578e-16,-7.73353135793176e-16,-2.797084970771472e-16,-1.3346741148329114e-16,2.2964350383568117e-16
2921906,0.005669112633240878,-0.011060065471342674,-0.012461541040533517,-0.009944831906932149,0.013351601372590668,0.016786070202296634,0.015550645140085589,0.0017686136056904646,-0.013297904641323003,-1.8750145416966596e-15,-5.881033242782678e-16,1.0734917677414008e-15,4.566191574247863e-15,2.43063572324769e-15,6.890599791023932e-16,1.866572734106101e-15
2922052,-0.0028188368394330833,-0.0027694002246705708,0.0028094506692572852,0.001056118932327283,0.0028856706423406437,0.002634302563558844,0.0012188123078565333,0.0006828369130485948,0.002633051035803298,1.445477896793246e-15,8.356863140112517e-16,2.619358474763612e-16,1.4548037006795335e-15,7.010086490186963e-16,2.415082584157634e-16,3.524103613614951e-16
2922102,0.0014726109223853958,0.0019426119809005259,-0.001088797552417508,-0.00201471480330134,-0.00015126907655077783,3.600490177394248e-07,-0.002053293141476887,0.0003279719490744943,-0.003321663126479845,9.30206457683863e-18,4.435202422792896e-16,-2.358278201553177e-16,-7.7558837536898845e-16,-2.649201675442603e-16,-1.3418846057363726e-16,2.216104593960607e-16
2922250,-0.0033347363781147154,0.0012785819134014942,-0.0016769780149956425,-0.002452220434664304,-0.002517651003869786,0.0036887402739126576,0.004719026077643608,0.0009693998348358384,0.0016305405839029251,-3.6260805617616547e-16,1.135967934505637e-17,-9.569850650360487e-17,-6.380008650772839e-16,-3.2698988144049353e-16,-1.0821405457849441e-16,-3.688127505007452e-16
2922607,-0.0010828603440168924,0.004255481325214167,-0.014541725635324706,-0.0048636791082355335,-0.0011464963872068786,-0.006319265676501556,-0.009339215376215952,0.007155666843450698,-0.006379732446991655,-5.475190908778557e-16,-3.882966146289564e-17,-3.678467175727955e-16,-1.7421298331477386e-15,-9.337674383051432e-16,-2.92931309973086e-16,2.0956400424633927e-16
2922730,-0.009453134836273002,-0.0034817870788686344,0.03393075351591762,-0.025845932907801582,-0.002254862067025489,0.002130286270733483,-0.02251953722786433,0.03193683729873023,0.01992494076318239,-1.0926420808105863e-15,1.8838070310630502e-16,1.4173908629936514e-16,1.3585353878698665e-15,7.547348799972112e-16,1.470132750218327e-16,-9.525307849254548e-16
2922755,-0.0010828603440168922,0.0042554813252141605,-0.014541725635324703,-0.004863679108235532,-0.001146496387206874,-0.00631926567650155,-0.009339215376215923,0.0071556668434506875,-0.006379732446991663,-5.542739171918726e-16,-2.599241609675502e-17,-3.785134950244443e-16,-1.7367890410929101e-15,-9.341967757527171e-16,-2.968766569076243e-16,2.1062184422716354e-16
2922805,0.02476155478273873,0.021422458271785502,0.0061784021672619234,-0.032419802118497563,0.013813919691377737,0.0077455364873743205,-0.026459052483096906,0.004198923830010896,-0.05456044328616547,1.0877911312026641e-14,3.603725463801328e-15,-2.0383140392628334e-15,-6.954803484096206e-15,-4.055428586225802e-15,-7.954240768110431e-16,6.0886684352693186e-15
2922854,0.004009788916487748,0.01848983896972048,-0.006300063670744321,0.012017550844249093,-0.025208403145363725,0.003448688683421309,0.007633046809799905,-0.008712538670229298,0.004654028955003114,-1.1513327665798271e-14,-3.784553293118628e-15,-1.630308243749183e-15,-9.539885990242734e-15,-4.5903051177285834e-15,-1.8033094277818823e-15,-4.253871090665231e-15
2922904,0.02528549761804246,-0.010963437132713102,0.037425657395380334,0.019088194874692904,-0.001901388527411728,0.028080389591079846,0.0053799777189683165,-0.022397634156692645,0.020677208826786586,1.798040706588805e-15,2.919680852885975e-16,8.97253689089108e-16,4.7609624991102985e-15,2.339918177082712e-15,8.249468278524405e-16,-1.718521607301827e-15
