source_geocode,target_geocode
2305407,2310803
2305506,2305407
2305506,2300309
2305654,2304103
2305654,2313203
2305803,2309300
2305803,2310951
2305803,2311702
2305902,2305209
2306009,2306900
2306207,2307007
2306207,2310001
2306256,2309706
2306256,2307650
2306306,2300903
2306405,2313807
2306504,2302800
2306504,2301208
2306504,2302107
2306553,2300200
2306603,2302404
2306603,2307635
2306702,2308708
2306900,2311355
2306900,2306009
2307007,2311801
2307007,2401453
2307007,2306207
2307007,2301109
2307007,2310001
2307106,2307205
2307106,2311108
2307106,2301901
2307106,2308401
2307205,2310605
2307205,2307106
2307502,2303204
2307502,2304806
2307502,2314003
2307502,2301802
2307601,2311801
2307601,2404309
2307635,2306603
2307650,2306256
2307650,2304400
2307700,2310704
2307809,2304707
2307809,2302602
2308005,2300507
2308005,2308807
2308005,2312809
2308104,2308302
2308302,2308104
2308302,2301703
2308351,2313005
2308351,2301851
2308377,2312908
2308401,2311108
2308401,2307106
2308609,2303659
2308609,2312205
2308708,2306702
2308807,2313401
2308807,2308005
2308807,2312809
2308807,2304707
2309102,2302107
2309102,2305100
2309201,2304202
2309201,2300606
2309201,2301604
2309201,2304301
2309300,2305209
2309300,2305803
2309458,2302206
2309458,2301950
2309508,2311355
2309508,2313005
2309607,2301950
2309607,2303501
2309607,2305233
2309706,2306256
2309706,2304400
2309805,2311603
2309904,2311702
2310001,2307007
2310001,2306207
2310001,2301109
2310100,2304954
2310258,2312403
2310308,2301505
2310407,2310704
2310506,2311405
2310605,2307205
2310704,2303006
2310704,2310407
2310704,2307700
2310704,2312601
2310803,2305407
2310951,2305209
2310951,2305803
2310951,2312205
2311009,2304103
2311108,2307106
2311108,2308401
2311207,2301604
2311231,2304277
2311355,2309508
2311355,2306900
2311405,2301851
2311405,2312700
2311405,2310506
2311504,2311801
2311603,2309805
2311603,2304954
2311702,2305803
2311702,2305001
2311702,2304657
2311702,2309904
2311801,2307601
2311801,2311504
2311801,2307007
2312007,2312809
2312106,2301307
2312106,2300606
2312205,2308609
2312205,2304350
2312205,2310951
2312205,2304905
2312403,2303709
2312403,2310258
2312403,2313757
2312403,2313500
2312502,2300705
2312601,2310704
2312601,2313500
2312700,2311405
2312809,2312007
2312809,2308005
2312809,2308807
2312908,2308377
2313005,2309508
2313005,2304269
2313005,2308351
2313104,2404309
2313203,2302404
2313203,2305654
2313252,2304301
2313351,2302800
2313351,2300903
2313401,2304509
2313401,2304004
2313401,2308807
2313401,2313906
2313500,2312403
2313500,2313757
2313500,2312601
2313559,2313757
2313559,2313807
2313757,2312403
2313757,2313807
2313757,2313559
2313757,2313500
2313807,2313757
2313807,2313559
2313807,2306405
2313906,2313401
2314003,2304806
2314003,2307502
2314003,2303808
2400109,2408904
2400109,2402402
2400109,2403806
2400208,2412807
2400208,2408706
2400208,2414605
2400208,2402501
2400208,2408003
2400307,2404705
2400307,2409704
